Geneid	HISAT2 on Control2 (BAM)
668205	0
668209	0
668213	0
668216	0
15978	2
69181	379
100038589	0
97640	0
73400	0
71902	1036
67081	0
74053	2
75321	0
117599	251
73914	10
68212	1198
100504548	0
66225	9
15364	0
321010	0
320626	0
791076	0
100038546	0
70874	0
320183	331
100504616	4
380664	294
24117	4
100504636	0
74694	65
75612	4024
192678	683
56480	809
73192	2125
216393	0
270802	97
117600	23
216394	0
668272	10
216395	334
100043513	0
54140	1504
319272	3
319468	50
387251	0
67074	1360
14479	778
100042958	6
268354	0
100505018	0
75030	0
20503	1075
320398	158
68876	58
52468	975
723962	0
723882	0
11567	5
66399	312
100504608	4
17299	177
13115	0
216438	10
12567	794
67125	5147
100504703	18
216439	52
216440	4815
14421	1850
216441	86
52666	50
80904	170
100038591	6
117150	493
16572	22
69654	1913
110962	546
13198	125
216443	1494
216445	78
14632	0
16326	2067
16325	2012
71750	1330
237611	26
407790	24
108037	3374
104080	0
16971	11440
20852	997
17937	267
72243	31
210035	121
432516	0
21334	2
320080	248
11536	514
107605	40
103142	1912
19683	3318
380674	94
216453	5
216454	2854
54150	24420
70061	1258
27400	5729
19075	97
17938	2949
56351	873
100862107	9
11947	26049
751518	0
116848	832
56516	420
216456	6099
66701	835
17339	0
21853	194
28194	9760
103161	14461
20847	1944
83430	1
103135	739
56530	1535
12974	3040
210582	480
237615	545
72002	48
69917	588
67588	183
68094	1900
17904	2403
216459	21
100502705	91
23943	498
103284	160
67945	5526
18813	1270
13867	1553
668459	2
27370	2688
22781	15
211389	2976
19344	1707
12566	247
20431	14
13139	171
78428	205
58223	1386
73827	56
74330	746
66844	361
66118	280
14561	4
12512	128
19682	337
14533	739
16404	230
71664	10415
18373	0
258861	0
622733	0
544748	0
546487	0
258315	0
258863	0
257667	0
100862148	0
258862	0
258540	0
257666	0
257664	0
258232	0
258538	0
404321	0
258537	0
258281	0
258723	0
257985	0
258724	0
258542	0
258069	0
